Total Population,California County,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty
3174,Fresno ,80.87,97.83,93.91,53.9,66.95,99.03,77.50086535
3609,Fresno ,83.28,97.57,94.76,69.58,36.06,99.19,81.2040316
3167,Fresno ,84.4,97.47,94.8,60.54,59.69,99.11,86.82842288
2206,Fresno ,78.25,98.06,54.75,93.82,45.43,87.18,62.74608783
6161,Fresno ,85.81,97.33,97.57,87.65,49.37,97.94,88.68099296
6133,San Bernardino,92.5,96.19,94.83,42.11,67.41,60.66,66.53966055
5252,Fresno ,81.91,97.73,92.38,68.02,14.1,99.19,81.2125893
3606,Fresno ,86.22,97.31,97.66,91.96,73.02,97.88,74.43046583
3151,Fresno ,81.06,97.78,92.54,73.5,17.54,99.19,76.21602289
2146,Los Angeles,40.66,87.03,99.27,0.0,97.23,77.0,67.53006475
7904,Fresno ,79.19,98.64,38.25,86.75,51.32,88.27,74.10198443
4106,Fresno ,79.73,97.87,57.61,93.79,8.37,99.19,75.25280899
2568,Los Angeles,63.43,88.9,72.6,31.78,73.58,63.66,45.0
2815,Fresno ,86.02,97.34,97.49,86.48,75.65,96.87,80.05952381
9122,Kern ,84.83,99.36,79.48,49.88,57.29,76.04,81.00092678
4959,Fresno ,88.83,97.04,97.8,59.22,73.97,97.27,83.07468477
6343,Fresno ,83.54,97.58,95.29,82.33,53.14,96.67,74.89287106
2216,San Bernardino,98.63,70.39,80.11,0.0,72.86,98.05,86.02305476
5936,Fresno ,80.33,97.82,78.4,0.0,22.28,87.54,64.21315274
964,Fresno ,80.26,97.76,40.4,83.86,1.75,99.19,91.35959339
5796,Fresno ,82.58,97.6,65.83,25.84,36.82,94.59,84.66071729
5076,San Bernardino,96.42,88.52,63.5,17.8,86.07,91.32,49.38249508
3386,Los Angeles,42.45,85.22,99.78,0.0,45.58,97.82,79.04098995
3921,Fresno ,83.41,97.39,67.52,40.75,37.76,99.13,67.30355221
5821,Fresno ,86.59,97.21,96.0,67.02,54.61,94.75,75.64643316
6369,Fresno ,85.28,97.0,87.23,6.97,70.06,93.74,76.09087631
2396,San Joaquin,42.22,43.1,70.83,72.24,72.4,99.29,70.94358462
4101,Los Angeles,42.75,86.93,99.33,0.0,97.84,76.52,65.63021703
7478,Kern ,89.74,99.04,44.18,81.24,63.09,76.04,56.01125854
4756,Fresno ,78.5,97.9,72.21,63.47,23.38,88.32,71.53722056
4839,Los Angeles,48.38,85.66,95.71,0.0,90.51,79.22,72.87642783
5601,Los Angeles,42.35,87.94,98.03,0.0,97.69,71.07,74.24643046
6692,San Joaquin,42.78,42.75,72.91,45.13,75.0,93.79,59.84263032
6613,Kings ,77.77,98.65,54.95,78.98,12.69,93.71,66.25239006
2651,Riverside ,92.49,83.51,58.81,72.3,91.36,77.31,60.73800738
8618,San Bernardino,99.07,69.66,75.13,0.0,76.97,97.22,80.14853236
5676,San Bernardino,93.1,96.15,95.78,64.2,63.76,72.94,55.56768559
5348,San Bernardino,94.01,95.87,95.0,20.13,97.59,76.25,61.53410164
5431,Fresno ,88.13,97.1,96.02,40.78,78.36,94.71,77.2834912
6313,Los Angeles,86.51,94.83,79.05,59.02,43.73,77.93,77.97779273
3353,Los Angeles,0.0,73.28,94.93,62.9,91.97,76.94,53.18208603
6590,San Bernardino,99.23,69.54,75.19,0.0,67.54,97.19,71.5053023
7841,Stanislaus ,61.1,51.12,63.36,83.76,73.14,75.29,74.69005539
6709,Los Angeles,40.99,87.97,98.16,0.0,97.39,69.58,68.95041452
2220,Riverside ,95.59,80.95,97.45,0.0,87.36,72.38,66.65196295
4972,Los Angeles,41.47,87.27,99.07,0.0,94.86,72.13,64.53594177
3294,Los Angeles,57.12,89.46,84.17,56.39,89.11,54.77,42.59854015
5275,Los Angeles,44.29,85.83,99.78,0.0,90.96,81.04,76.59858752
3204,Los Angeles,31.96,84.4,62.37,50.28,44.13,47.32,68.42418826
2598,Los Angeles,39.88,87.75,98.08,0.0,90.52,71.51,57.83314458
3639,Riverside ,96.52,64.41,55.47,0.0,87.33,83.42,78.88259906
3411,Los Angeles,48.3,83.71,99.79,0.0,91.87,42.53,68.07483404
