Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
2780,Fresno ,93706,-119.7816961,36.7096952,82.48,97.71,98.72,42.9,60.38,97.22,92.25,76.0
4680,San Joaquin,95206,-121.2878729,37.9431727,44.98,72.59,91.15,73.66,48.29,94.22,88.12,73.2
2751,Los Angeles,90023,-118.1974975,34.0175004,53.73,89.21,96.55,0.0,92.84,82.76,90.15,62.6
3664,Fresno ,93706,-119.8277069,36.7345353,82.48,95.88,57.09,71.59,35.28,98.24,94.57,65.7
2689,Fresno ,93706,-119.8055044,36.7354914,82.48,97.47,99.3,64.41,52.26,98.17,94.43,72.7
3306,Los Angeles,90221,-118.2124134,33.881969,29.89,89.22,90.64,36.07,77.66,88.6,93.67,43.5
4255,Fresno ,93706,-119.804314,36.6977507,82.48,96.02,36.19,90.83,5.7,98.23,94.57,79.5
5124,Los Angeles,90220,-118.230032,33.8798617,26.7,88.64,83.17,46.07,79.6,95.46,81.31,56.8
4561,Fresno ,93725,-119.7410277,36.7026849,84.58,97.9,62.55,59.45,16.6,89.34,61.13,72.2
3688,San Joaquin,95202,-121.2853628,37.953996,44.98,72.2,90.63,63.93,7.61,99.96,89.13,78.8
2000,Los Angeles,90033,-118.2077883,34.0588723,59.69,91.57,98.41,0.0,88.83,74.85,57.13,71.7
3640,Los Angeles,90247,-118.286709,33.8771395,24.88,82.35,94.08,74.14,97.63,74.05,53.75,51.5
1949,Los Angeles,91733,-118.0651222,34.0572554,71.66,78.44,91.56,12.21,51.86,75.19,74.84,61.1
6772,Los Angeles,90059,-118.2350934,33.9327963,35.16,83.73,96.76,0.0,92.41,97.1,98.63,73.5
5705,Los Angeles,90011,-118.2469968,34.0185256,46.99,84.39,91.89,0.0,46.5,77.37,93.28,68.6
2615,Los Angeles,90021,-118.2502739,34.0244835,46.99,87.29,93.86,0.0,91.94,79.92,58.35,71.9
4225,Fresno ,93706,-119.8010347,36.726462,82.48,97.36,95.22,73.38,31.51,98.23,94.57,70.2
2464,Los Angeles,91731,-118.0605567,34.0686907,74.1,75.21,81.64,39.66,94.99,69.64,68.2,43.5
5999,Los Angeles,90001,-118.2649765,33.9856783,39.99,86.78,67.39,0.0,61.29,87.6,91.86,57.5
2031,Los Angeles,90023,-118.2244531,34.0299036,50.99,90.54,98.79,0.0,98.11,58.47,50.12,58.9
3548,Los Angeles,90023,-118.2117956,34.0187546,50.54,89.42,92.08,0.0,53.66,82.76,90.15,82.3
