Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
3174,Fresno ,93706,-119.7816961,36.7096952,98.18,97.22,95.54,47.82,62.98,97.67,97.12,96.31
6133,San Bernardino,91761,-117.6180131,34.0577805,91.1,93.64,92.12,41.34,55.66,69.78,94.63,92.66
3167,Fresno ,93706,-119.8055044,36.7354914,91.1,97.22,95.42,48.75,39.0,98.33,99.56,97.67
6692,San Joaquin,95203,-121.3145235,37.9405169,53.02,84.02,73.52,60.56,78.29,98.34,85.57,97.17
2206,Fresno ,93725,-119.7178427,36.6816,98.18,97.22,58.22,95.15,24.3,89.54,90.23,92.36
2598,Los Angeles,90023,-118.1974975,34.0175004,53.02,92.89,96.98,0.0,97.19,77.63,90.23,77.62
2396,San Joaquin,95203,-121.3020724,37.952421,53.02,94.0,66.48,79.19,61.94,99.36,97.03,91.68
4106,Fresno ,93706,-119.804314,36.6977507,98.18,97.22,64.14,90.89,7.97,98.42,95.9,97.67
2146,Los Angeles,90023,-118.2244531,34.0299036,53.02,92.89,96.42,0.0,96.63,66.53,96.64,40.56
6343,Fresno ,93721,-119.7762091,36.7276563,98.18,97.22,96.74,76.84,57.96,94.23,99.08,97.26
4165,Stanislaus ,95354,-120.9667385,37.6287607,73.93,92.89,74.88,61.53,42.26,91.09,97.74,94.75
9122,Kern ,93307,-118.9920281,35.3372541,98.18,99.86,62.81,50.07,48.16,89.19,95.55,87.52
6161,Fresno ,93721,-119.7933565,36.743063,98.18,97.22,96.5,75.45,40.59,96.21,99.8,75.76
5936,Fresno ,93725,-119.7577716,36.7107523,98.18,97.22,81.22,0.0,16.22,89.07,93.51,91.9
3618,Los Angeles,90023,-118.2117956,34.0187546,53.02,92.89,95.97,0.0,62.0,77.63,97.74,77.62
5252,Fresno ,93706,-119.8042772,36.717769,98.18,97.22,95.47,86.95,4.17,98.42,97.54,97.67
3353,Los Angeles,90247,-118.286709,33.8771395,40.49,81.66,80.51,73.44,94.72,75.48,77.32,62.0
4756,Fresno ,93725,-119.7410277,36.7026849,98.18,97.22,81.38,59.76,11.43,84.04,97.6,83.97
964,Fresno ,93706,-119.831179,36.7067181,91.1,97.22,39.64,89.09,2.28,98.42,97.22,97.67
3609,Fresno ,93706,-119.8010347,36.726462,98.18,97.22,96.34,66.79,24.21,98.42,97.88,97.67
4724,Los Angeles,90001,-118.2649765,33.9856783,53.02,83.99,79.39,0.0,64.09,89.8,97.12,91.45
1604,Los Angeles,90021,-118.2477686,34.0326196,53.02,92.89,95.21,0.0,90.16,98.64,89.3,54.0
5269,San Joaquin,95206,-121.2878729,37.9431727,53.02,94.01,67.12,73.93,68.81,96.93,98.19,94.73
3151,Fresno ,93706,-119.804301,36.7104697,98.18,97.22,95.28,87.15,5.28,98.42,98.62,97.67
3863,San Joaquin,95202,-121.2853628,37.953996,53.02,94.09,60.86,63.54,30.29,99.53,99.42,82.0
4010,Stanislaus ,95351,-120.982756,37.6209695,73.93,92.89,69.57,63.99,63.1,91.39,95.31,98.59
7590,San Bernardino,92410,-117.3168792,34.100314,98.18,83.99,87.95,0.0,59.82,96.61,95.65,98.06
3495,Los Angeles,90002,-118.2314205,33.947117,40.49,81.66,76.48,0.0,71.48,88.88,96.48,91.68
3921,Fresno ,93706,-119.8277069,36.7345353,91.1,97.22,60.39,64.4,24.68,98.35,89.58,97.56
4497,Riverside ,92501,-117.3763853,33.9798271,98.18,92.89,83.22,0.0,69.66,94.53,80.41,89.86
7904,Fresno ,93662,-119.6279131,36.5629769,98.18,97.49,46.48,84.07,35.37,92.99,93.84,86.7
5350,Los Angeles,90059,-118.2350934,33.9327963,40.49,81.66,76.48,0.0,95.1,93.67,96.9,87.08
2666,Los Angeles,90220,-118.2238692,33.8611473,31.84,69.14,86.8,68.66,81.13,94.05,50.95,90.91
2216,San Bernardino,92401,-117.2926063,34.1006404,98.18,81.66,92.1,0.0,53.59,97.68,99.79,99.61
4101,Los Angeles,90023,-118.2158297,34.0366414,53.02,92.89,96.49,0.0,97.16,80.6,93.73,66.09
4662,Los Angeles,90011,-118.2469968,34.0185256,53.02,92.89,94.51,0.0,66.89,73.52,94.47,71.01
7841,Stanislaus ,95351,-121.0188436,37.6049206,73.93,92.89,53.38,88.12,71.35,84.7,89.58,89.7
2860,Fresno ,93721,-119.7927732,36.7369244,98.18,97.22,97.01,71.09,12.57,78.53,99.21,96.55
5592,San Joaquin,95205,-121.2605554,37.9516762,53.02,94.2,63.76,63.3,58.57,90.89,96.52,92.53
5275,Los Angeles,90033,-118.2246242,34.046259,53.02,92.89,97.97,0.0,95.91,91.51,92.46,77.21
2068,Los Angeles,90021,-118.2502739,34.0244835,53.02,92.89,94.19,0.0,93.38,88.14,98.1,66.56
3454,Los Angeles,90001,-118.2628927,33.9729857,53.02,81.66,79.39,0.0,77.92,80.31,94.47,81.41
6369,Fresno ,93728,-119.8328803,36.7572824,91.1,97.22,91.89,11.57,58.83,89.73,98.58,61.0
6006,San Joaquin,95330,-121.3027448,37.8446844,64.8,81.66,40.76,92.49,71.25,74.73,52.09,80.01
4839,Los Angeles,90033,-118.1964766,34.059079,53.02,92.89,86.68,0.0,97.28,82.86,96.96,58.86
2213,Los Angeles,90063,-118.183979,34.0592143,53.02,83.99,86.68,0.0,88.8,62.24,78.3,78.62
2227,San Diego,92113,-117.1411746,32.6948502,22.34,66.23,99.65,0.0,73.37,97.23,99.02,70.78
6198,Los Angeles,91201,-118.2865467,34.1623874,73.93,81.66,77.93,0.0,91.88,29.67,73.05,73.79
3081,Los Angeles,90065,-118.2242419,34.0887194,53.02,92.89,82.04,0.0,88.13,78.29,89.58,47.2
4867,Los Angeles,90220,-118.230032,33.8798617,31.84,81.66,90.17,0.0,85.66,94.9,87.08,92.36
2220,Riverside ,92507,-117.3560514,33.9857419,98.18,92.89,94.64,0.0,83.87,70.75,88.91,63.96
4268,San Bernardino,92324,-117.3233041,34.0602092,98.18,83.99,83.45,0.0,85.16,91.5,92.95,99.15
6709,Los Angeles,90023,-118.1827241,34.0169019,53.02,83.99,96.98,0.0,98.21,63.56,89.58,58.01
5653,Fresno ,93702,-119.7499923,36.732259,98.18,97.22,74.1,28.67,37.6,96.57,98.97,99.43
5431,Fresno ,93702,-119.7634654,36.7540827,98.18,97.22,94.67,0.0,72.49,95.76,99.64,99.18
5170,Los Angeles,91766,-117.7349296,34.0542821,82.1,92.89,69.7,0.0,46.06,75.28,94.2,72.45
5796,Fresno ,93702,-119.7455349,36.7250147,98.18,97.22,74.1,26.25,17.81,95.92,98.74,99.25
2771,San Joaquin,95206,-121.2686436,37.9313083,53.02,84.18,66.04,66.9,13.77,97.41,91.9,97.24
3987,Los Angeles,90040,-118.1526793,33.9862905,53.02,81.66,78.56,0.0,88.71,64.92,70.38,76.59
2888,Fresno ,93702,-119.7591482,36.7250069,98.18,97.22,74.1,0.0,16.18,92.61,99.92,96.32
6537,Kern ,93307,-118.9879161,35.3613217,98.18,100.0,77.44,0.0,39.7,89.19,98.54,87.52
3766,Los Angeles,90023,-118.2142985,34.0245059,53.02,92.89,94.57,0.0,66.42,77.63,97.9,77.62
6616,Los Angeles,90805,-118.1668021,33.8674703,31.84,69.14,74.0,55.37,75.05,88.38,67.28,80.64
4967,Los Angeles,90247,-118.2870814,33.8886904,40.49,81.66,80.54,66.86,94.89,78.82,76.87,66.7
5234,Los Angeles,90016,-118.3605226,34.0297377,53.02,81.66,74.5,18.63,97.74,92.92,96.05,74.21
5790,Los Angeles,90201,-118.1611103,33.959603,53.02,81.66,51.4,69.18,51.1,53.9,96.48,75.41
2384,Los Angeles,90059,-118.2282398,33.9326754,40.49,81.66,76.48,0.0,93.76,89.58,98.43,77.31
4442,Riverside ,92518,-117.278368,33.8891026,98.18,92.89,47.34,12.85,76.99,75.99,91.46,79.92
9743,Kern ,93307,-118.9452577,35.3590376,98.18,100.0,76.63,41.59,31.73,88.06,97.12,85.15
5840,San Bernardino,92335,-117.4772152,34.0743336,98.18,93.64,84.01,64.99,86.28,78.34,73.19,89.71
7929,Fresno ,93648,-119.5507133,36.6214407,98.18,97.73,26.16,95.53,11.57,93.26,95.99,95.47
